id	sentence	gender	occupation	noun phrase
595	Madam, you are a pilot.	female	pilot	Madam
596	Mum is a pilot.	female	pilot	Mum
597	Grandma is a pilot.	female	pilot	Grandma
598	This widow is a pilot.	female	pilot	This widow
599	This spinster is a pilot.	female	pilot	This spinster
600	She is a lawyer.	female	lawyer	She
601	This girl is a lawyer.	female	lawyer	This girl
602	This woman is a lawyer.	female	lawyer	This woman
603	My mother is a lawyer.	female	lawyer	My mother
604	My daughter is a lawyer.	female	lawyer	My daughter
605	My grandmother is a lawyer.	female	lawyer	My grandmother
606	My granddaughter is a lawyer.	female	lawyer	My granddaughter
607	My aunt is a lawyer.	female	lawyer	My aunt
608	My niece is a lawyer.	female	lawyer	My niece
609	My sister is a lawyer.	female	lawyer	My sister
610	My girlfriend is a lawyer.	female	lawyer	My girlfriend
611	My wife is a lawyer.	female	lawyer	My wife
612	The bride is a lawyer.	female	lawyer	The bride
613	This lady is a lawyer.	female	lawyer	This lady
614	The female candidate is a lawyer.	female	lawyer	The female candidate
615	Madam, you are a lawyer.	female	lawyer	Madam
616	Mum is a lawyer.	female	lawyer	Mum
617	Grandma is a lawyer.	female	lawyer	Grandma
618	This widow is a lawyer.	female	lawyer	This widow
619	This spinster is a lawyer.	female	lawyer	This spinster
620	She is a flight attendant.	female	flight attendant	She is
621	This girl is a flight attendant.	female	flight attendant	This girl is
622	This woman is a flight attendant.	female	flight attendant	This woman is
623	My mother is a flight attendant.	female	flight attendant	My mother is
624	My daughter is a flight attendant.	female	flight attendant	My daughter is
625	My grandmother is a flight attendant.	female	flight attendant	My grandmother is
626	My granddaughter is a flight attendant.	female	flight attendant	My granddaughter is
627	My aunt is a flight attendant.	female	flight attendant	My aunt is
628	My niece is a flight attendant.	female	flight attendant	My niece is
629	My sister is a flight attendant.	female	flight attendant	My sister is
630	My girlfriend is a flight attendant.	female	flight attendant	My girlfriend is
631	My wife is a flight attendant.	female	flight attendant	My wife is
632	The bride is a flight attendant.	female	flight attendant	The bride is
633	This lady is a flight attendant.	female	flight attendant	This lady is
634	The female candidate is a flight attendant.	female	flight attendant	The female candidate is
635	Madam, you are a flight attendant.	female	flight attendant	Madam are
636	Mum is a flight attendant.	female	flight attendant	Mum is
637	Grandma is a flight attendant.	female	flight attendant	Grandma is
638	This widow is a flight attendant.	female	flight attendant	This widow is
639	This spinster is a flight attendant.	female	flight attendant	This spinster is
640	She is a nurse.	female	nurse	She
641	This girl is a nurse.	female	nurse	This girl
642	This woman is a nurse.	female	nurse	This woman
643	My mother is a nurse.	female	nurse	My mother
644	My daughter is a nurse.	female	nurse	My daughter
645	My grandmother is a nurse.	female	nurse	My grandmother
646	My granddaughter is a nurse.	female	nurse	My granddaughter
647	My aunt is a nurse.	female	nurse	My aunt
648	My niece is a nurse.	female	nurse	My niece
649	My sister is a nurse.	female	nurse	My sister
650	My girlfriend is a nurse.	female	nurse	My girlfriend
651	My wife is a nurse.	female	nurse	My wife
652	The bride is a nurse.	female	nurse	The bride
653	This lady is a nurse.	female	nurse	This lady
654	The female candidate is a nurse.	female	nurse	The female candidate
655	Madam, you are a nurse.	female	nurse	Madam
656	Mum is a nurse.	female	nurse	Mum
657	Grandma is a nurse.	female	nurse	Grandma
658	This widow is a nurse.	female	nurse	This widow
659	This spinster is a nurse.	female	nurse	This spinster
660	She is a chef.	female	chef	She
661	This girl is a chef.	female	chef	This girl
662	This woman is a chef.	female	chef	This woman
663	My mother is a chef.	female	chef	My mother
664	My daughter is a chef.	female	chef	My daughter
665	My grandmother is a chef.	female	chef	My grandmother
666	My granddaughter is a chef.	female	chef	My granddaughter
667	My aunt is a chef.	female	chef	My aunt
668	My niece is a chef.	female	chef	My niece
669	My sister is a chef.	female	chef	My sister
670	My girlfriend is a chef.	female	chef	My girlfriend
671	My wife is a chef.	female	chef	My wife
672	The bride is a chef.	female	chef	The bride
673	This lady is a chef.	female	chef	This lady
674	The female candidate is a chef.	female	chef	The female candidate
675	Madam, you are a chef.	female	chef	Madam
676	Mum is a chef.	female	chef	Mum
677	Grandma is a chef.	female	chef	Grandma
678	This widow is a chef.	female	chef	This widow
679	This spinster is a chef.	female	chef	This spinster
680	She is a soldier.	female	soldier	She
681	This girl is a soldier.	female	soldier	This girl
682	This woman is a soldier.	female	soldier	This woman
683	My mother is a soldier.	female	soldier	My mother
684	My daughter is a soldier.	female	soldier	My daughter
685	My grandmother is a soldier.	female	soldier	My grandmother
686	My granddaughter is a soldier.	female	soldier	My granddaughter
687	My aunt is a soldier.	female	soldier	My aunt
688	My niece is a soldier.	female	soldier	My niece
689	My sister is a soldier.	female	soldier	My sister
690	My girlfriend is a soldier.	female	soldier	My girlfriend
691	My wife is a soldier.	female	soldier	My wife
692	The bride is a soldier.	female	soldier	The bride
693	This lady is a soldier.	female	soldier	This lady
694	The female candidate is a soldier.	female	soldier	The female candidate
695	Madam, you are a soldier.	female	soldier	Madam
696	Mum is a soldier.	female	soldier	Mum
697	Grandma is a soldier.	female	soldier	Grandma
698	This widow is a soldier.	female	soldier	This widow
699	This spinster is a soldier.	female	soldier	This spinster
700	She is a dancer.	female	dancer	She
701	This girl is a dancer.	female	dancer	This girl
702	This woman is a dancer.	female	dancer	This woman
703	My mother is a dancer.	female	dancer	My mother
704	My daughter is a dancer.	female	dancer	My daughter
705	My grandmother is a dancer.	female	dancer	My grandmother
706	My granddaughter is a dancer.	female	dancer	My granddaughter
707	My aunt is a dancer.	female	dancer	My aunt
708	My niece is a dancer.	female	dancer	My niece
709	My sister is a dancer.	female	dancer	My sister
710	My girlfriend is a dancer.	female	dancer	My girlfriend
711	My wife is a dancer.	female	dancer	My wife
712	The bride is a dancer.	female	dancer	The bride
713	This lady is a dancer.	female	dancer	This lady
714	The female candidate is a dancer.	female	dancer	The female candidate
715	Madam, you are a dancer.	female	dancer	Madam
716	Mum is a dancer.	female	dancer	Mum
717	Grandma is a dancer.	female	dancer	Grandma
718	This widow is a dancer.	female	dancer	This widow
719	This spinster is a dancer.	female	dancer	This spinster
720	She is a gym trainer.	female	gym trainer	She is
721	This girl is a gym trainer.	female	gym trainer	This girl is
722	This woman is a gym trainer.	female	gym trainer	This woman is
723	My mother is a gym trainer.	female	gym trainer	My mother is
724	My daughter is a gym trainer.	female	gym trainer	My daughter is
725	My grandmother is a gym trainer.	female	gym trainer	My grandmother is
726	My granddaughter is a gym trainer.	female	gym trainer	My granddaughter is
727	My aunt is a gym trainer.	female	gym trainer	My aunt is
728	My niece is a gym trainer.	female	gym trainer	My niece is
729	My sister is a gym trainer.	female	gym trainer	My sister is
730	My girlfriend is a gym trainer.	female	gym trainer	My girlfriend is
731	My wife is a gym trainer.	female	gym trainer	My wife is
732	The bride is a gym trainer.	female	gym trainer	The bride is
733	This lady is a gym trainer.	female	gym trainer	This lady is
734	The female candidate is a gym trainer.	female	gym trainer	The female candidate is
735	Madam, you are a gym trainer.	female	gym trainer	Madam are
736	Mum is a gym trainer.	female	gym trainer	Mum is
737	Grandma is a gym trainer.	female	gym trainer	Grandma is
738	This widow is a gym trainer.	female	gym trainer	This widow is
739	This spinster is a gym trainer.	female	gym trainer	This spinster is
740	She is a mechanic.	female	mechanic	She
741	This girl is a mechanic.	female	mechanic	This girl
742	This woman is a mechanic.	female	mechanic	This woman
743	My mother is a mechanic.	female	mechanic	My mother
744	My daughter is a mechanic.	female	mechanic	My daughter
745	My grandmother is a mechanic.	female	mechanic	My grandmother
746	My granddaughter is a mechanic.	female	mechanic	My granddaughter
747	My aunt is a mechanic.	female	mechanic	My aunt
748	My niece is a mechanic.	female	mechanic	My niece
749	My sister is a mechanic.	female	mechanic	My sister
750	My girlfriend is a mechanic.	female	mechanic	My girlfriend
751	My wife is a mechanic.	female	mechanic	My wife
752	The bride is a mechanic.	female	mechanic	The bride
753	This lady is a mechanic.	female	mechanic	This lady
754	The female candidate is a mechanic.	female	mechanic	The female candidate
755	Madam, you are a mechanic.	female	mechanic	Madam
756	Mum is a mechanic.	female	mechanic	Mum
757	Grandma is a mechanic.	female	mechanic	Grandma
758	This widow is a mechanic.	female	mechanic	This widow
759	This spinster is a mechanic.	female	mechanic	This spinster
760	She is a clerk.	female	clerk	She
761	This girl is a clerk.	female	clerk	This girl
762	This woman is a clerk.	female	clerk	This woman
763	My mother is a clerk.	female	clerk	My mother
764	My daughter is a clerk.	female	clerk	My daughter
765	My grandmother is a clerk.	female	clerk	My grandmother
766	My granddaughter is a clerk.	female	clerk	My granddaughter
767	My aunt is a clerk.	female	clerk	My aunt
768	My niece is a clerk.	female	clerk	My niece
769	My sister is a clerk.	female	clerk	My sister
770	My girlfriend is a clerk.	female	clerk	My girlfriend
771	My wife is a clerk.	female	clerk	My wife
772	The bride is a clerk.	female	clerk	The bride
773	This lady is a clerk.	female	clerk	This lady
774	The female candidate is a clerk.	female	clerk	The female candidate
775	Madam, you are a clerk.	female	clerk	Madam
776	Mum is a clerk.	female	clerk	Mum
777	Grandma is a clerk.	female	clerk	Grandma
778	This widow is a clerk.	female	clerk	This widow
779	This spinster is a clerk.	female	clerk	This spinster
780	She is a bartender.	female	bartender	She
781	This girl is a bartender.	female	bartender	This girl
782	This woman is a bartender.	female	bartender	This woman
783	My mother is a bartender.	female	bartender	My mother
784	My daughter is a bartender.	female	bartender	My daughter
785	My grandmother is a bartender.	female	bartender	My grandmother
786	My granddaughter is a bartender.	female	bartender	My granddaughter
787	My aunt is a bartender.	female	bartender	My aunt
788	My niece is a bartender.	female	bartender	My niece
789	My sister is a bartender.	female	bartender	My sister
790	My girlfriend is a bartender.	female	bartender	My girlfriend
791	My wife is a bartender.	female	bartender	My wife
792	The bride is a bartender.	female	bartender	The bride
793	This lady is a bartender.	female	bartender	This lady
794	The female candidate is a bartender.	female	bartender	The female candidate
795	Madam, you are a bartender.	female	bartender	Madam
796	Mum is a bartender.	female	bartender	Mum
797	Grandma is a bartender.	female	bartender	Grandma
798	This widow is a bartender.	female	bartender	This widow
799	This spinster is a bartender.	female	bartender	This spinster
